TCONS_00000402 ELOA
TCONS_00000403 PITHD1
TCONS_00000405 LYPLA2
TCONS_00000406 LYPLA2
TCONS_00000407 LYPLA2
TCONS_00000408 PNRC2
TCONS_00000409 PNRC2
TCONS_00000411 NIPAL3
TCONS_00000412 NIPAL3
TCONS_00000413 NIPAL3
TCONS_00000414 RCAN3
TCONS_00000415 RCAN3
TCONS_00000416 NCMAP
TCONS_00000417 RP11-496D1.2
TCONS_00000420 SRRM1
TCONS_00000424 SRRM1
TCONS_00000425 SRRM1
TCONS_00000426 SRRM1
TCONS_00000430 CLIC4
TCONS_00000431 CLIC4
TCONS_00000432 CLIC4
TCONS_00000433 RP3-465N24.6
TCONS_00000434 TMEM50A
TCONS_00000435 TMEM50A
TCONS_00000436 TMEM50A
TCONS_00000437 TMEM50A
TCONS_00000438 RP3-469D22.1
TCONS_00000439 TMEM57
TCONS_00000440 LDLRAP1
TCONS_00000441 LDLRAP1
TCONS_00000442 LDLRAP1
TCONS_00000443 LDLRAP1
TCONS_00000445 RP11-70P17.1
TCONS_00000446 MAN1C1
TCONS_00000447 MAN1C1
TCONS_00000448 MAN1C1
TCONS_00000449 MAN1C1
TCONS_00000450 MAN1C1
TCONS_00000451 MAN1C1
TCONS_00000452 MAN1C1
TCONS_00000453 SELENON
TCONS_00000455 SELENON
TCONS_00000456 MTFR1L
TCONS_00000457 MTFR1L
TCONS_00000458 MTFR1L
TCONS_00000459 MTFR1L
TCONS_00000460 MTFR1L
TCONS_00000465 MTFR1L
TCONS_00000467 MTFR1L
TCONS_00000468 RP1-125I3.2
TCONS_00000469 SNRPFP2
TCONS_00000470 RP1-125I3.4
TCONS_00000472 PDIK1L
TCONS_00000473 PDIK1L
TCONS_00000475 FAM110D
TCONS_00000476 ZNF593
TCONS_00000477 ZNF593
TCONS_00000478 CNKSR1
TCONS_00000479 CNKSR1
TCONS_00000480 CNKSR1
TCONS_00000481 CNKSR1
TCONS_00000482 CNKSR1
TCONS_00000483 CNKSR1
TCONS_00000484 CNKSR1
TCONS_00000486 CNKSR1
TCONS_00000487 CEP85
TCONS_00000488 CEP85
TCONS_00000496 SH3BGRL3
TCONS_00000497 CD52
TCONS_00000498 CD52
TCONS_00000499 RP11-569G9.7
TCONS_00000500 DHDDS
TCONS_00000501 DHDDS
TCONS_00000502 DHDDS
TCONS_00000503 DHDDS
TCONS_00000504 DHDDS
TCONS_00000505 DHDDS
TCONS_00000506 DHDDS
TCONS_00000507 DHDDS
TCONS_00000509 DHDDS
TCONS_00000510 DHDDS
TCONS_00000511 HMGN2
TCONS_00000512 HMGN2
TCONS_00000513 HMGN2
TCONS_00000514 HMGN2
TCONS_00000515 HMGN2
TCONS_00000516 HMGN2
TCONS_00000517 RPS6KA1
TCONS_00000518 RPS6KA1
TCONS_00000519 RPS6KA1
TCONS_00000520 ARID1A
TCONS_00000521 ARID1A
TCONS_00000523 ARID1A
TCONS_00000524 ARID1A
TCONS_00000525 ARID1A
TCONS_00000527 PIGV
TCONS_00000528 PIGV
TCONS_00000529 ZDHHC18
TCONS_00000531 SFN
TCONS_00000532 NUDC
TCONS_00000533 NUDC
TCONS_00000534 TRNP1
TCONS_00000535 WDTC1
TCONS_00000536 WDTC1
TCONS_00000537 WDTC1
TCONS_00000538 TMEM222
TCONS_00000539 TMEM222
TCONS_00000540 TMEM222
TCONS_00000541 RNU6-48P
