gene_id,logFC,unshrunk.logFC,logCPM,PValue,FDR,BH,BY,bf
DGKH,-0.982878691637939,-0.982905444643906,5.57698078011727,0.00165518478131591,0.0155729080354299,0.0155729080354299,0.158890450433062,1
ZNF414,0.865475186678312,0.865813546740923,0.799894775020774,0.0016559706168368,0.0155729080354299,0.0155729080354299,0.158890450433062,1
WDR73,0.752165628596775,0.752424399727769,1.19083521206073,0.00165758991875734,0.0155784660478745,0.0155784660478745,0.158947158858928,1
GPSM1,1.01144065856226,1.01276447029958,-0.812631826419955,0.00166051058476372,0.0155939897245111,0.0155939897245111,0.159105547001179,1
NUDT9P1,-1.09264524621231,-1.09677588503693,-1.3041042185946,0.00166182643492678,0.0155939897245111,0.0155939897245111,0.159105547001179,1
ZNF335,0.684873764818052,0.684930510630406,3.17805026699222,0.00166275754664647,0.0155939897245111,0.0155939897245111,0.159105547001179,1
SLC8A1,0.795579577439323,0.795598622726711,4.96743578580693,0.00166394760359216,0.0155939897245111,0.0155939897245111,0.159105547001179,1
RP11-363E7.4,-1.09442172280155,-1.09448810283101,4.80491549814603,0.0016643882102003,0.0155939897245111,0.0155939897245111,0.159105547001179,1
KPNA5,-0.73080294292666,-0.730826131859724,5.48354101390014,0.00166551655227578,0.0155949170376873,0.0155949170376873,0.159115008381669,1
FAS,0.957895142435083,0.95814601647353,1.69445096330587,0.0016697734880051,0.015625119421419,0.015625119421419,0.159423163438152,1
RAB3C,-1.06753218209131,-1.06863800293894,0.702596337955055,0.00167273846208223,0.01563852238197,0.01563852238197,0.159559913904683,1
AKAP7,-0.724035039748119,-0.724069642504672,4.97773886076041,0.00167347350128011,0.01563852238197,0.01563852238197,0.159559913904683,1
USP30,-1.03244026716154,-1.03275334981524,1.95314832399301,0.00167430252828748,0.01563852238197,0.01563852238197,0.159559913904683,1
P2RY1,-1.00048867745844,-1.0005309799252,5.08191623395381,0.00167678381399002,0.015652048540942,0.015652048540942,0.159697921365255,1
ISCA1P1,-0.750039018600433,-0.750133011267862,3.28432080286733,0.00167939508837926,0.0156647964481893,0.0156647964481893,0.159827988319995,1
RP11-861A13.3,-1.07154746321474,-1.07179685497924,2.77091504261779,0.00168021744081238,0.0156647964481893,0.0156647964481893,0.159827988319995,1
RNF149,0.869653247967754,0.869709711604088,3.63302957890374,0.00168329511946921,0.0156838382902574,0.0156838382902574,0.160022272319899,1
TCF7,0.919291202574913,0.919367841477205,3.29092712402339,0.00168477232493237,0.015687953732468,0.015687953732468,0.160064262195207,1
ZNF30,0.673365249772486,0.674286474474554,-0.63684235207053,0.00168641817746338,0.0156921069699295,0.0156921069699295,0.160106637695627,1
FAM207A,0.80920408051088,0.809555744542964,0.688958536408204,0.00168728991775677,0.0156921069699295,0.0156921069699295,0.160106637695627,1
GSTM4,-1.07104182161052,-1.07107133211208,5.67079064002633,0.00169099025282448,0.0157066826953362,0.0157066826953362,0.160255353887234,1
SLC6A6,-0.827671654264493,-0.827684489878242,6.49329470643641,0.00169166966642203,0.0157066826953362,0.0157066826953362,0.160255353887234,1
RP11-4O1.2,-0.924890103574414,-0.925540409614135,1.1326111161194,0.00169196740322038,0.0157066826953362,0.0157066826953362,0.160255353887234,1
ARHGAP31,0.826057465029787,0.826077757761556,4.87461614430683,0.00169828433853722,0.0157442159411724,0.0157442159411724,0.160638305762603,1
HLA-B,-1.14836427480323,-1.14836494377919,11.1956583115486,0.00169828950354077,0.0157442159411724,0.0157442159411724,0.160638305762603,1
FGD2,0.968502259982065,0.96852027821052,5.09079791882944,0.00169927622984905,0.0157442159411724,0.0157442159411724,0.160638305762603,1
TRMT12,0.81995944019813,0.820260731585869,1.13396349416181,0.00170016747721175,0.0157442159411724,0.0157442159411724,0.160638305762603,1
AKIRIN1,-0.742298219736092,-0.742326000076693,5.10493854655356,0.00170311010607427,0.0157564899685913,0.0157564899685913,0.160763537719331,1
RPL23AP53,-0.798452934018537,-0.798984876462398,1.17832023966744,0.00170366729812147,0.0157564899685913,0.0157564899685913,0.160763537719331,1
ZSWIM7,-0.836002008481779,-0.836037424044295,4.95015053819858,0.00170519915021722,0.0157564899685913,0.0157564899685913,0.160763537719331,1
UNC45A,-0.790667331836208,-0.790683157525591,5.92439194099674,0.00170565303950428,0.0157564899685913,0.0157564899685913,0.160763537719331,1
WDFY1,-0.741285106838912,-0.741295643307528,6.43132817416397,0.00170813020869791,0.0157640515476336,0.0157640515476336,0.160840688544167,1
METRNL,0.880775953895202,0.881017398322067,1.35702001972303,0.00170855264958511,0.0157640515476336,0.0157640515476336,0.160840688544167,1
CIART,1.02699731333795,1.03109312976929,-2.41028838498314,0.00171022954760361,0.015767343432022,0.015767343432022,0.160874275655325,1
HK1,-0.818734165676862,-0.818735822693658,9.32092590661933,0.0017109909308412,0.015767343432022,0.015767343432022,0.160874275655325,1
TMEM248,-0.805216770540836,-0.805237882332819,5.75112542370014,0.00171407361003747,0.0157861490529287,0.0157861490529287,0.161066149489662,1
RP5-940J5.9,-2.0616380261821,-2.1739188627165,-4.28768133207539,0.00171539459024665,0.0157887169150891,0.0157887169150891,0.161092349398786,1
SNCG,0.923414282577172,0.923903092249741,0.452570414117689,0.00171845842957581,0.015790211931342,0.015790211931342,0.16110760305631,1
RAPH1,0.814964215197526,0.81510375643028,1.99085323961779,0.00171984777922,0.015790211931342,0.015790211931342,0.16110760305631,1
CTD-2231E14.2,-1.14955061515743,-1.15785016475046,-2.23476318202867,0.00172056094734009,0.015790211931342,0.015790211931342,0.16110760305631,1
RPAP2,-0.87477806545564,-0.874828585704522,4.62735255793895,0.00172076585438557,0.015790211931342,0.015790211931342,0.16110760305631,1
TEAD4,0.917191788887353,0.917405588828606,1.74585906663013,0.00172076831014163,0.015790211931342,0.015790211931342,0.16110760305631,1
STK39,-0.858266913989628,-0.858275955826255,7.08426757282885,0.00172324659949917,0.015797741340128,0.015797741340128,0.161184425647875,1
IL1B,0.855446603875206,0.855503998222179,3.45715318755317,0.0017236743521605,0.015797741340128,0.015797741340128,0.161184425647875,1
FPR2,1.08305331452219,1.08334379699647,1.62575000017077,0.00172663697270822,0.0158107862003579,0.0158107862003579,0.161317522415226,1
EHBP1L1,0.851450690947704,0.851457261642618,6.36233217614941,0.00172729888652689,0.0158107862003579,0.0158107862003579,0.161317522415226,1
HSDL1,-0.900399174562876,-0.900434604741187,5.13361071338996,0.00172822851140545,0.0158107862003579,0.0158107862003579,0.161317522415226,1
TMEM123,-0.803649132569563,-0.803662579785854,6.24847073647108,0.00173039956367987,0.0158209563972079,0.0158209563972079,0.161421288979237,1
RAP2B,-0.763308853500359,-0.763316617599736,6.98654130220776,0.00173197671280667,0.0158209563972079,0.0158209563972079,0.161421288979237,1
SPRED2,-0.866334061020948,-0.866548856096419,2.11910694302629,0.00173247304706059,0.0158209563972079,0.0158209563972079,0.161421288979237,1
LRG1,1.01934406192652,1.01990586164365,0.205173522650875,0.00173413561829522,0.0158215382686501,0.0158215382686501,0.161427225816168,1
ANXA9,-0.785311893420621,-0.786516399738568,-0.235209845799022,0.00173462541678071,0.0158215382686501,0.0158215382686501,0.161427225816168,1
VPS28,-0.683698314630026,-0.683703126924263,7.51086813844643,0.00173873683300876,0.0158494964019752,0.0158494964019752,0.161712482775702,1
SDCCAG8,-0.661910083159095,-0.661928333324265,5.62525334479189,0.00174023807199559,0.0158536420870314,0.0158536420870314,0.161754781218898,1
BUB1,-0.650921613026416,-0.650973494337679,3.8854389694574,0.00174333255936051,0.0158681242469441,0.0158681242469441,0.16190254276135,1
MLH3,-1.002049491484,-1.0020505354471,10.5513239070798,0.00174547415678477,0.0158681242469441,0.0158681242469441,0.16190254276135,1
ZNF574,0.830335114332474,0.830442557098038,2.44302805219181,0.00174551712691775,0.0158681242469441,0.0158681242469441,0.16190254276135,1
ZNF232,0.829252510783857,0.829849583762955,0.169149397639245,0.00174619775370908,0.0158681242469441,0.0158681242469441,0.16190254276135,1
SELP,-1.07467484384192,-1.07467735542213,9.43137725753173,0.00174706476857444,0.0158681242469441,0.0158681242469441,0.16190254276135,1
ZNF445,0.81966373009643,0.819772608979417,2.47280961004673,0.00174865782526692,0.0158693909394054,0.0158693909394054,0.161915466830205,1
H19,1.02512450290866,1.02513268465249,6.92337412159556,0.00174929919926119,0.0158693909394054,0.0158693909394054,0.161915466830205,1
LAIR2,1.25267849013554,1.25812521551534,-2.13034111387512,0.00175159378388592,0.0158766966118759,0.0158766966118759,0.161990006639143,1
BTBD8,-0.743215985631963,-0.743546460998856,1.65699300378603,0.00175234981181585,0.0158766966118759,0.0158766966118759,0.161990006639143,1
DIAPH3,-0.681235482886329,-0.681328001216622,3.26153796177277,0.00175359259323379,0.0158766966118759,0.0158766966118759,0.161990006639143,1
